token,tag
ফ্রান্সিস কাম্‌বোর,PER
শিলিগুড়িতে,LOC
19:43:58,TIME
02:42:18,TIME
জীবতলি,LOC
রহিমও,PER
+8801944595885,PHN
২৩-৩-২০০৭,TIME
স্পোর্টস ইনভেস্টমেন্টস ক্লাবটির,ORG
রাজঘাটের,LOC
১৯/৭/২০৭৬,TIME
details,OBJ
এয়ারবোর্ন,ORG
সাজ্জাদুলকে,PER
ওয়েস্ট,PER
18290,NUM
21:07:46,TIME
কলকাতা উচ্চ আদালতের,ORG
৬৪,NUM
৭,NUM
আব্দুল ওয়াজেদ সিদ্দিকীর,PER
2602,NUM
রিজার,PER
তেভেজের,PER
ছাত্রজীবনে,OBJ
01:32:51,TIME
ফয়সালুর,PER
ফেলপস,PER
প্রতিমা,OBJ
+8801381405469,PHN
রেইনহোল্ড,PER
+8801368620079,PHN
মানিকগঞ্জ মুগদা মেডিকেল কলেজ,ORG
মুকাম্বিকা দেবী,PER
মাছের সস,OBJ
গল,OBJ
ঝাউডাঙ্গা,LOC
+8801838754179,PHN
16/03/2083,TIME
ডেজার্ট ওয়ান,PER
পড়াতে,OBJ
গিরিশ চন্দ্র বসু,PER
শহর ইউরোপীয় ইউনিয়নের,LOC
তুড়ি,OBJ
চর ভদ্রাসন,LOC
+8801759335243,PHN
83820,NUM
ইপিআর,PER
ছাতুবাবুর,LOC
ওয়েলস,LOC
পোলাও,OBJ
সাইয়্যেদ’,PER
+৮৮০১৮৬৯৭৪৮৯৮৮,PHN
জমিজমা,OBJ
অফিসার,ORG
শফি আল্লামা,PER
ব্রাজিল,OBJ
মুহম্মদ মনসুর উদ্দিন,PER
প্রমানিত,OBJ
শরীরগঠন,ORG
+8801466424576,PHN
ধূম্রলোচন,PER
40947,NUM
কালিয়ারভাংগা,LOC
আমদহ,LOC
চম্পার,PER
ফাইসালের,PER
+৮৮০১৮১১৯৯৬৫৩৩,PHN
ওস্তান,LOC
27704,NUM
স্লিমস বেনসন এন্ড হেজেস,ORG
আন্দলিব,PER
২৯৩৮৮৪২,NUM
+৮৮০১৩৩৯৩৭৭২২৯,PHN
34952,NUM
পাহাড়ি,LOC
সেতুও,OBJ
এনটিনি মুত্তিয়া মুরালিধরন,PER
ভাইও,OBJ
অভিযোগও,OBJ
২৮/২/১৭৭২,TIME
হোসেয়ান,PER
+৮৮০১৭১৯৭৬৭৫৪৬,PHN
জাতীয়করণসহ,OBJ
+৮৮০১৮২৫১১৫৪৭২,PHN
এস নারায়ণ,PER
বলাইশিমুল,LOC
এলায়েন্স ফর ট্যাক্সপেয়ার অ্যাক্সেস,ORG
২৩-৪-২০৬৬,TIME
18/05/1982,TIME
76122,NUM
মৎস্য,PER
পাবনা টেক্সটাইল ইঞ্জিনিয়ারিং,ORG
+৮৮০১৮৫৫৪১০৮৯৬,PHN
ঘরামী,PER
কেন্ডালের,PER
নার্গিস শিখা,PER
রাঙ্গুনিয়া,LOC
জনসভায়,OBJ
11/01/2083,TIME
ড ক্যালিগারী,PER
১৫টি,OBJ
৩৯৯৯৫৮৮,NUM
মুইর সেন্ট্রাল কলেজের,ORG
গুরুদাসপুরের,LOC
রাশফোর্ড,PER
+৮৮০১৫৮৫৮৩০৫১৬,PHN
+8801911016303,PHN
সপ্তাহব্যাপী,OBJ
81705,NUM
ভিত্তিক,OBJ
পৃথ্বী,PER
সরকারিভাবে,ORG
81237,NUM
৭/৫/১৯৮৭,TIME
অ্যালোভেরা,OBJ
৪৪৪৪২,NUM
আপনাকে,PER
+8801328662775,PHN
ন,ORG
18/12/1905,TIME
জামিনুর,PER
লেওন,LOC
পানিবণ্টন,OBJ
+৮৮০১৫৫১৮১৬৭২৪,PHN
ক্রেস,PER
শতক,OBJ
৭৩৬২৮৯,NUM
৩২১,NUM
চম্পক,PER
16:06:39,TIME
বাপ্পির,PER
সাইকেলে,OBJ
চাকী,PER
সেও,PER
সার্কেলের,LOC
আরমানিটোলা গভর্ণমেন্ট,ORG
21:52:19,TIME
দয়া,OBJ
৮৯৭১৪১১,NUM
মুক্তিযুদ্ধে,OBJ
মীর,LOC
গড়জরিপা,LOC
আমলা,PER
৫১৬২৮৭৬৩,NUM
হেফাজতের,OBJ
ডাকাত,OBJ
পার্টনার,OBJ
যশোরের,LOC
রুশ,PER
জান্নাত,OBJ
পশ্চিমে সিন্দুকছড়ি ইউনিয়ন,LOC
55208,NUM
ফ্রোডোর,PER
উৎপাটনের,OBJ
সুমিতা দেবী কুসুমের,PER
ছাড়াও,OBJ
ক্যালিস,PER
৪/১২/১৮৫৩,TIME
পিআইএমএস,ORG
পূর্ব নাথ পাড়া,LOC
ক্লাব মোগি মিরিম,PER
টেরেন,OBJ
অনামিকা,OBJ
সামগ্রী,OBJ
পুষ্টিগুণ,OBJ
ফসল,OBJ
04:47:58,TIME
মন্ডলের,PER
শিষ্য,PER
নাদুন,LOC
জিয়া চট্টগ্রামে,LOC
শিরোমনি,LOC
+৮৮০১৩৬১১৭৬১৩৭,PHN
কাকুয়া কুকুয়া,LOC
সরিয়ে,OBJ
মানুষই,OBJ
হারামিয়া ইউনিয়ন,LOC
তৈরি,ORG
তত্ত্বকে,OBJ
62304,NUM
মথুরাপুর হল্ট,LOC
শনি,LOC
রিপ্রেজেনটেটিভ,ORG
আমাতুল,PER
শাল্লা সদর,LOC
বেপারীরাই,PER
78568,NUM
02/09/1902,TIME
বাজলা,LOC
খুশিকি,OBJ
৩৩,NUM
নাথালিয়া,PER
63886,NUM
দাতা,ORG
স্বাধীনতাবিরোধীদের,PER
৮-৯-১৯৯৯,TIME
88892,NUM
নিকারাগুয়া হ্রদ,LOC
খোকনসহ,PER
07/06/2040,TIME
৯৫২৬৯,NUM
পঞ্চপুকুর,LOC
হিস্ট্রি,LOC
জামালপুর,PER
পেয়ারাও,OBJ
৭৯৭৭১৭,NUM
স্পষ্টই,OBJ
কৃষ্ণ পাথরের,OBJ
৩,NUM
এয়ারটেল,ORG
ঝুঁকিপূর্ণ,OBJ
কলিমেটরের,OBJ
+৮৮০১৫২৭১৩১৬৯০,PHN
ফাবরি,PER
খবিরের,PER
কৌতূহল,OBJ
জেনারেশন,OBJ
উমিয়ার উমে নদীর,LOC
গুণগ্রাহীদের,PER
মৌসুম,OBJ
মুক্তি,PER
ছাপানোর,OBJ
উচ্চশিক্ষার,OBJ
৩,NUM
সোরয়ার্দী,PER
সূর্যঘড়ি,OBJ
15/01/2033,TIME
সিরজের,OBJ
জানতাম,OBJ
করতাম,OBJ
কোঙ্কন,LOC
রবীন্দ্রনাথ,PER
পিষ্ট,OBJ
10:49:00,TIME
জনস্বার্থে,OBJ
বন্দীদের,PER
+৮৮০১৫৪৫৩৫৬৫০১,PHN
তেমুখীতে,LOC
লংঘনের,OBJ
২১/৮/২০৯৫,TIME
+8801330036240,PHN
23732,NUM
+8801410958971,PHN
উপদ্বীপে,OBJ
অর্পণ,OBJ
+8801390685183,PHN
খাদিমের,OBJ
ঘটা,OBJ
30640,NUM
জগত্তৃপ্যতু,OBJ
সুবিধামতো,OBJ
রুটগারস বিশ্ববিদ্যালয়,ORG
04/11/2075,TIME
FZSDC ফরিদপুর জিলা স্কুল,ORG
মন্ত্রিসভায়,ORG
লুইস পন,PER
কাচের চুড়ি,OBJ
05:53:52,TIME
৮৫,NUM
তাকে,OBJ
অ্যাম্বাসাডার,OBJ
১৪-৪-১৯৮৭,TIME
শমসের সিং,PER
পরিবরাতন্ত্রের,OBJ
তুলট,OBJ
শ্রীপতি,PER
যোনির,OBJ
শিক্ষা উপেন্দ্রনাথ জামালপুরে,LOC
জটে,OBJ
আমান,ORG
খাদিজার,PER
টাকশালে,OBJ
+8801891287272,PHN
তৃণমূলে,OBJ
পরিবারকল্যাণ,ORG
48518,NUM
+৮৮০১৩২০৯৪৫৬৭৬,PHN
8504,NUM
ইউনিয়ন ফেঞ্চুগঞ্জ,LOC
ছাতারপাইয়া,LOC
ইটনা,LOC
জেইন্সত্রা,PER
ফ্রাসোয়া-নোয়েল,PER
সাম্রাজ্যের,OBJ
আফগান,ORG
ওস্তাদ,OBJ
+8801645286458,PHN
মালি,OBJ
+8801493041046,PHN
রামজি,PER
+8801984967639,PHN
13686,NUM
+৮৮০১৮৬০৪১২৪৭৫,PHN
৩/৯/১৯২১,TIME
সনি,LOC
১০/৪/১৯৩৩,TIME
গালানি,PER
92319,NUM
+8801997205540,PHN
হামোম,PER
১২-৮-১৯৩৪,TIME
প্রতাপসাসান,LOC
45738,NUM
68599,NUM
+8801542086045,PHN
১৫/১১/১৮৬৬,TIME
দুর্বল,OBJ
রইস,PER
84357,NUM
কেইসও,OBJ
লৌহ জিনিসপত্র,OBJ
20837,NUM
দেম্বেলের,OBJ
93213,NUM
বনু নওফাল,LOC
আল-শাবাবের,ORG
৩৬৪৮,NUM
জ্বালানি,PER
মরিসিও,PER
বেলজিয়াম মউস ফ্রাইটস,PER
23/03/2064,TIME
04:20:03,TIME
বসছেন,OBJ
হার্ডিঞ্জ,PER
হইয়িদে,OBJ
19/12/2011,TIME
মডেলিং,OBJ
ছাত্রীকে,PER
রাজকালী,LOC
+৮৮০১৫৫৫৩৭৫০৭৯,PHN
+8801581808750,PHN
বিশ্নেষক,OBJ
মন্ত্রীসভা,LOC
যাঁহারা,OBJ
চেয়ারম্যানপ্রার্থী,PER
পশ্চিম খন্ডটি,LOC
ভিড়িয়েছিলেন,OBJ
+8801371954255,PHN
কষ্টকর,OBJ
ইয়ার্দেনা আরাজির,PER
অযথা,OBJ
১৭-১-১৯৫৯,TIME
15151,NUM
17147,NUM
+8801872732367,PHN
মুরারি,LOC
কবিতার,PER
১/২/১৮৩৬,TIME
৫১৩৪৩৩৭,NUM
কামদেবপুর,LOC
রাজমহল পাহাড়,LOC
তানবীর,PER
বাইতুল,PER
+8801753378895,PHN
দুর্ভাগ্যজনক,OBJ
মৃত্যুবরণও,OBJ
গর্ভপাত,OBJ
কার্ডও,OBJ
চ্যাম্পিয়নশিপে,ORG
+8801552818895,PHN
05/10/1950,TIME
82939,NUM
কুলে,OBJ
শশধর,PER
৫৪৫১,NUM
১-৯-২০৩৪,TIME
কলঙ্কজনক,OBJ
11/09/2058,TIME
গবর্নমেন্ট ল্যাবরেটরি হাই স্কুল,ORG
সবকটিতে,OBJ
ব্যক্তিরিনা রায়,PER
কিশোরীমোহন,PER
ছুড়ে,OBJ
কোরিয়াতে,LOC
+৮৮০১৭৭৩৫১৩১৯৭,PHN
জহর রায়,PER
বিলাওয়াল,PER
দিল্লিতেই,LOC
ব্যক্তিদের,OBJ
২/৬/১৮২৬,TIME
পরামর্শদাতা,OBJ
শিরোনাম,OBJ
কলেজিয়েট,ORG
উচ্চারণে,OBJ
শোকের,OBJ
৫৪৩টি,OBJ
+8801392875929,PHN
স্মার্ট ফোন,OBJ
27/03/1930,TIME
+8801873479284,PHN
খাইর্দিদ়,LOC
+8801892460261,PHN
কার্ভার,PER
লিটল,OBJ
মোটামুটিভাবে,OBJ
প্রশাসকেরা,PER
সুপ্রিম,OBJ
+8801406267677,PHN
রাজু জাহাজটির,PER
কলহের,OBJ
২৫/৬/২০১৭,TIME
হ্যাটফিল্ডের,PER
35613,NUM
বোরহা,PER
76233,NUM
নাচনেওয়ালী কামাল মাদ্রাজের,ORG
চারণায়,OBJ
উত্তর ইন্দো,LOC
আউশনারা,LOC
রাহ হাফিযুল হাদীসও,PER
ঐতিহাসিক,OBJ
19/10/2019,TIME
দায়,OBJ
পশ্চিম ইউরোপিয়ান,LOC
হাকিমপুর সাবসেক্টরে,LOC
সজীব,OBJ
পরিশ্রমের,OBJ
গিয়ই,OBJ
ক্লারি,PER
কমপ্লেক্সেসহ,ORG
+8801932643073,PHN
রাষ্ট্রদূত,OBJ
চিন,OBJ
দ্বীপের,LOC
লক্ষীছড়ি,LOC
আগামীকালই,TIME
প্রাণভয়ে,OBJ
সদরপুর,LOC
চন্দনেশ্বর-১,LOC
+8801963619269,PHN
Eugen,PER
৬৩৬৬৩,NUM
+8801348349586,PHN
ত্রিপুরায়,LOC
45030,NUM
ধানুয়া,LOC
ইউনিয়নেও,OBJ
22:32:57,TIME
জীর্ণ,OBJ
বাংলাদেশিদের,LOC
রুশ ইউনিভার্সিটি,ORG
+৮৮০১৩৩৪২৭৯৭৮৯,PHN
আইডেন্টিটি,OBJ
ঘনঘটা,OBJ
রোজ,ORG
সলিমুল্লাহর,PER
লিটন,PER
সীতার,PER
নৃপেন হাজারিকা,PER
হ্‌নাহথিয়াল শহরের,LOC
হানিফ উয়ারী,PER
রটাল,OBJ
১৮-৫-১৯৫৩,TIME
১৫-৮-২০১৬,TIME
হওয়ায়,OBJ
পশ্চিমে চন্ডিবরপুর ইউনিয়ন,LOC
কৃষি প্রযুক্তি ইনস্টিটিউট,ORG
কন্সুলেটগুলোতে,OBJ
11638,NUM
৫৬৩১৬৫,NUM
২৭৮৪২৪২,NUM
অনশন,OBJ
প্রোটিন,OBJ
15:55:51,TIME
01:46:34,TIME
রেগিস পিলবিন,PER
মামলাটি,OBJ
ভ্রাতুষ্পুত্রী,PER
বাড়ি,OBJ
৬১৯৮১,NUM
জোসেফ,ORG
বালিয়াচণ্ডী,LOC
যাত্রীর,OBJ
৫২১৪৫৬২৫,NUM
নিক,LOC
রিচার্ড রক্সবার্গ,PER
নির্মাতারা,PER
+8801362437799,PHN
ববের,PER
13:24:10,TIME
19:00:33,TIME
যোদ্ধা,OBJ
রাজ্যসভার,OBJ
দুলালপুর,LOC
ক্রিউই,PER
+৮৮০১৪২৩০৯৯৪৯২,PHN
71892,NUM
শালবাহান,LOC
১৫-৯-২০৫১,TIME
99998,NUM
তেলটা,OBJ
+৮৮০১৪৮২৩৫৯৩৩৯,PHN
২৭-৮-১৮৮১,TIME
8482,NUM
নিকটাত্মীয়র,OBJ
অপর্ণা,PER
+8801639664302,PHN
ধুন্ডীরাজ,PER
06:46:41,TIME
প্রতিদ্বন্দ্বীদের,PER
সারদা দেবী উত্তর,LOC
কদম্বগাছি,LOC
নাগরিকের,OBJ
আর্জেন্টিনার,ORG
গ্রিক,PER
শমশের,LOC
ইয়েভস এলিয়ট ট্রুডো,PER
মুরাদনগর সদর,LOC
শেষের,OBJ
মিরালেম পিয়ানিচ,PER
ভূখণ্ড,OBJ
নাসরিনের,PER
94694,NUM
সঞ্চয়কারীরা,OBJ
ক্যারিয়ারের,OBJ
কামারহাট,LOC
সোনাইমুড়ীর,LOC
৬৪৬১১৭৯২,NUM
শ্বাস,OBJ
হামফ্রিকে,PER
৩৭৬৩১৩৮,NUM
লোকালয়ে,OBJ
এনাব্লারস ফর ইনফরমেশন সোসাইটি,ORG
কর্নারে,LOC
সাহেরখালী,LOC
পাঁপড়ি,PER
08:20:52,TIME
ইনফ্রান্টি,OBJ
পাড়েরহাট,LOC
+৮৮০১৬৮০০১১০৭০,PHN
17/10/2053,TIME
আইলিফ জেআর বাব,PER
29547,NUM
+8801897406300,PHN
রূপচর্চা,OBJ
পতিকারা,LOC
পাইনদং,LOC
6141,NUM
৯৬৯৫৭২৮৮২,NUM
এডিকশান,ORG
99341,NUM
১০/৮/১৭৭১,TIME
অভিনয়,OBJ
৬,NUM
09/09/2056,TIME
+8801409325592,PHN
ইকেগামি,PER
চরদুয়ানী,LOC
জোঙ্গিন্তাবা,PER
পশ্চিম বাহারছড়া,ORG
Russian-->রাশিয়ান,LOC
লিশটেনস্টাইন,LOC
২৬৪,NUM
+8801665910572,PHN
ময়নাঘোনা,LOC
শিয়াতো,PER
বীমা কোম্পানিগুলিও,ORG
+৮৮০১৬৬০৬৭৯৩৫১,PHN
+8801511748447,PHN
মুসসালাত,PER
লুসি ফরেসটিয়াঁ,PER
৫১,NUM
পোরতেমনিয়াস,ORG
15:21:11,TIME
এসে,OBJ
গলার,OBJ
ব্লাক মিউজিক কলেজে,ORG
গির্জা বুরূজ,PER
আহ,LOC
07:45:04,TIME
65040,NUM
+৮৮০১৭৩০৩৭১৫৪৫,PHN
বুড়িঘাটসহ,LOC
ভিউ,ORG
বাউন্ডারির,OBJ
11:29:57,TIME
স্রষ্টার,PER
দিয়ে,OBJ
+8801788024715,PHN
03:41:39,TIME
+৮৮০১৩৯৬০৫২৭৬৫,PHN
আজাদ,PER
অস্কার,ORG
দ্বীপ ক্যালিফোর্নিয়া উপসাগরে,LOC
সান,LOC
কারী,PER
৮৯,NUM
বেলতৈল,LOC
১৩/৭/১৮২০,TIME
67767,NUM
শরীফের,LOC
মোহালিতে,LOC
সায়ান কুমার টাক,PER
কালের,ORG
উলভার্ট দক্ষিণ আফ্রিকা,LOC
স্যামস্যাং,ORG
৪/১/১৮৩৯,TIME
সকালে,OBJ
অতিথিকে,PER
+8801998222294,PHN
এল,OBJ
বড়ইতলী ইউনিয়ন,LOC
অধিদপ্তর-এর,ORG
মারইয়াম,PER
আলিপুরদুয়ার জেলার সদর,LOC
+৮৮০১৩৭৪৭২৬৯৩৪,PHN
জার্মানী,LOC
+8801588877748,PHN
রাজা মিরও,PER
+8801444985100,PHN
নিউমার্কেটে,LOC
ইন্টারপোলের,TIME
৬৭৩,NUM
মাগলদের,PER
আওয়াল,PER
রাফ কায়েস,PER
২৫/১/২০৯০,TIME
১৪-৬-২০৯১,TIME
+8801718384944,PHN
যুক্তিসঙ্গত,OBJ
ফ্যাব্রি,PER
বঙ্গোপসাগরে,LOC
বিসিসি,ORG
অপচেষ্টা,OBJ
+8801323427695,PHN
সালুয়া,LOC
ফ্লান্ডার্স,LOC
সাইজ,OBJ
লালিসে,LOC
সিহনার,PER
বানানোর,OBJ
দেখলেই,OBJ
শ্যামপুকুর ব্রাঞ্চ স্কুলের,ORG
বারী,PER
৬৬,NUM
সিরিজটি,OBJ
নয়নপুর,ORG
মজুদকৃত,OBJ
ন্যাশনালিস্ট,ORG
64325,NUM
অবরোধের,OBJ
+8801477056614,PHN
১৫-৭-২০৫২,TIME
নওকুচি,LOC
নিবেদনে,OBJ
গাড়িগুলো,OBJ
রোনাল্ড কোজ,PER
সুবিল,LOC
অঙ্গরাজ্যে,LOC
ইলেক্ট্রন,OBJ
+8801306926308,PHN
৩১-৬-১৮০৬,TIME
+8801716833499,PHN
সাংসদরা,OBJ
৮৫১৯৬৬১৮,NUM
দৌড়াদৌড়িতে,OBJ
নার্সিং প্রশিক্ষণ কলেজ,ORG
আইডিই,ORG
26/07/1911,TIME
+8801482525283,PHN
পাথরটির,OBJ
ইস্টার দ্বীপ,LOC
মানুচিনকে,PER
৬/২/২০৩৬,TIME
মাসিয়াজ বারবেকা,PER
জিউধরা,LOC
18:31:20,TIME
পরিবার,OBJ
এলেঙ্গা,LOC
+8801676211922,PHN
সেলাই যশুরে,OBJ
08:18:45,TIME
+৮৮০১৩০৬৯৩০৩৩৩,PHN
খুলনা বঙ্গবন্ধু কলেজ,ORG
+৮৮০১৯৯২৮৮৮১৮৫,PHN
শিক্ষার্থীরই,OBJ
দখলদারদের,PER
00:52:22,TIME
দিয়েছে,OBJ
ফ্লো নদী,LOC
প্রাক,LOC
আমদানিও,OBJ
নারায়ণপুর,LOC
20:38:14,TIME
+8801671644036,PHN
৩৪,NUM
+৮৮০১৮৪৫১৮৬৬০৪,PHN
হেমন্তকুমার,PER
39763,NUM
অ্যাট অস্টিন কলেজ অব কমিউনিকেশন,ORG
পাঙ্গিরি,LOC
6585,NUM
৩০-১১-১৮৫২,TIME
ট্রাঙ্কলাইনটি,OBJ
+৮৮০১৯০০৩০২২০৯,PHN
উগান্ডার,LOC
12/07/2018,TIME
এমআইএস,ORG
+৮৮০১৪৩৭৪৪৫১৪২,PHN
ভ্রাম্যমান,OBJ
আবুধাবি,LOC
1818,NUM
93752,NUM
৪৩৭,NUM
কুশীলবদের,PER
মেখে,OBJ
নারায়ণকে,PER
পাখতুন,LOC
গুজরাটের,LOC
শীর্ষকে,OBJ
21:35:16,TIME
ইস্টম্যান,PER
ইংরেজি:Katghora,LOC
২৬৯৬৬২৭৪৫,NUM
চন্ডীর,PER
মার্ক স্ট্রং,PER
74504,NUM
২০১১,TIME
15159,NUM
কাচুয়াই,LOC
ঝালং,LOC
পার্কে,LOC
১৮/১০/১৮১৭,TIME
তারকাই,PER
তানজানিয়াতে,LOC
ফোলার,PER
ল্যান্সবারি,PER
৩০-১০-২০১৯,TIME
98741,NUM
আজমগড়ে,ORG
নওদাবাস,LOC
মেহরাবকে,PER
+8801487449250,PHN
নানা,OBJ
